,name,Country,No. of students,Students per staff,International Student,Female: male ratio
172,Sant’Anna School of Advanced Studies – Pisa,Italy,661,10.0,20%,36 : 64
173,University of Exeter,United Kingdom,"22,007",17.0,28%,54 : 46
174,Lomonosov Moscow State University,Russian Federation,"28,525",8.4,32%,52 : 48
175,Northeastern University,United States,"20,711",14.1,36%,48 : 52
176,Ulsan National Institute of Science and Technology (UNIST),South Korea,"3,983",14.3,8%,27 : 73
177,University of Aberdeen,United Kingdom,"12,863",16.6,42%,57 : 43
178,Newcastle University,United Kingdom,"24,089",14.6,27%,51 : 49
179,Paris-Saclay University,France,"28,618",14.6,16%,55 : 45
180,Scuola Normale Superiore di Pisa,Italy,557,6.7,11%,29 : 71
181,Autonomous University of Barcelona,Spain,"31,284",12.5,17%,59 : 41
182,Stockholm University,Sweden,"27,200",19.1,10%,
183,Arizona State University (Tempe),United States,"45,827",19.7,20%,43 : 57
184,University of Canberra,Australia,"10,304",37.4,35%,
185,Queensland University of Technology,Australia,"35,555",42.0,17%,53 : 47
186,Eindhoven University of Technology,Netherlands,"9,469",21.3,23%,
187,George Washington University,United States,"23,788",13.4,17%,60 : 40
188,Technical University of Denmark,Denmark,"9,412",6.7,25%,31 : 69
189,Yonsei University (Seoul campus),South Korea,"17,745",14.7,22%,48 : 52
190,Cardiff University,United Kingdom,"25,898",14.1,28%,59 : 41
191,University of Gothenburg,Sweden,"19,616",9.8,13%,
192,University of Lausanne,Switzerland,"12,685",8.8,24%,
193,Tel Aviv University,Israel,"22,635",22.3,7%,56 : 44
194,Macquarie University,Australia,"29,835",65.5,29%,53 : 47
195,University of Münster,Germany,"44,580",42.9,8%,
196,Texas A&M University,United States,"62,070",24.4,8%,47 : 53
197,University of Barcelona,Spain,"45,494",15.0,11%,62 : 38
198,University of Erlangen-Nuremberg,Germany,"38,052",57.3,12%,49 : 51
199,University of Calgary,Canada,"31,863",17.6,21%,54 : 46
200,University of East Anglia,United Kingdom,"15,757",13.8,27%,59 : 41
201,Queen’s University Belfast,United Kingdom,"18,438",17.2,36%,56 : 44
202,Aalborg University,Denmark,"16,227",13.4,14%,
203,Aalto University,Finland,"12,506",18.6,24%,37 : 63
204,University of Bath,United Kingdom,"14,410",16.2,33%,46 : 54
205,University of Bergen,Norway,"14,297",12.4,13%,60 : 40
206,Brandeis University,United States,"5,346",12.7,27%,58 : 42
207,"University of California, Santa Cruz",United States,"19,457",23.8,12%,49 : 51
208,Chalmers University of Technology,Sweden,"8,325",11.9,17%,32 : 68
209,Copenhagen Business School,Denmark,"16,312",30.7,25%,48 : 52
210,Curtin University,Australia,"30,130",20.5,32%,52 : 48
211,University of Duisburg-Essen,Germany,"42,744",53.6,19%,48 : 52
212,University of Dundee,United Kingdom,"12,247",17.5,22%,63 : 37
213,Griffith University,Australia,"33,645",28.6,17%,58 : 42
214,University of Hawai’i at Mānoa,United States,"14,732",10.6,10%,57 : 43
215,Hebrew University of Jerusalem,Israel,"16,105",11.9,5%,57 : 43
216,University of Hohenheim,Germany,"9,235",42.5,15%,57 : 43
217,Howard University,United States,"8,766",9.3,8%,67 : 33
218,University of Iowa,United States,"29,406",11.6,10%,53 : 47
219,James Cook University,Australia,"11,198",21.0,11%,64 : 36
220,Karlsruhe Institute of Technology,Germany,"26,886",27.9,23%,28 : 72
221,King Abdulaziz University,Saudi Arabia,"31,869",7.8,22%,54 : 46
222,KTH Royal Institute of Technology,Sweden,"13,482",16.5,20%,33 : 67
223,La Trobe University,Australia,"22,303",31.9,30%,64 : 36
224,Université Libre de Bruxelles,Belgium,"24,157",42.1,31%,56 : 44
225,University of Luxembourg,Luxembourg,"4,858",19.0,51%,52 : 48
226,University of Massachusetts,United States,"61,958",13.3,15%,48 : 52
227,Medical University of Graz,Austria,"3,541",12.1,25%,52 : 48
228,Medical University of Innsbruck,Austria,"3,080",11.0,44%,52 : 48
229,Medical University of Vienna,Austria,"7,466",8.8,30%,52 : 48
230,University of Miami,United States,"16,179",6.3,16%,52 : 48
231,Moscow Institute of Physics and Technology (MIPT),Russian Federation,"5,736",11.4,18%,25 : 75
232,University of Otago,New Zealand,"18,571",20.4,21%,59 : 41
233,RCSI University of Medicine and Health Sciences,Ireland,"2,355",23.1,65%,
234,University of Reading,United Kingdom,"15,207",15.8,31%,57 : 43
235,"St George’s, University of London",United Kingdom,"3,425",12.0,21%,62 : 38
236,University of São Paulo,Brazil,"82,961",16.1,4%,47 : 53
237,Sapienza University of Rome,Italy,"77,496",22.9,7%,57 : 43
238,University of South Florida (Tampa),United States,"34,839",19.2,15%,
239,University of St Andrews,United Kingdom,"9,614",12.8,47%,58 : 42
240,Télécom Paris,France,897,5.4,43%,19 : 81
241,Tilburg University,Netherlands,"9,380",24.0,16%,47 : 53
242,Tohoku University,Japan,"17,752",11.7,12%,27 : 73
243,University of Twente,Netherlands,"8,207",14.4,35%,37 : 63
244,University of Utah,United States,"30,692",14.8,8%,48 : 52
245,Virginia Polytechnic Institute and State University,United States,"34,155",18.4,14%,43 : 57
246,University of Waterloo,Canada,"32,804",22.8,21%,47 : 53
247,Western University,Canada,"29,865",22.8,18%,56 : 44
248,University of the Witwatersrand,South Africa,"27,839",25.8,7%,55 : 45
249,University of Wollongong,Australia,"18,517",30.5,29%,52 : 48
